"County Code","County","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"01003","Baldwin County, AL",".",".",".",".","0.08","0.065",".",".",".","18","7.6",".",".","."
"01049","DeKalb County, AL",".",".",".",".","0.08","0.066",".",".",".","21","8.9",".",".","."
"01051","Elmore County, AL",".",".",".",".","0.07","0.061",".",".",".",".",".",".",".","."
"01055","Etowah County, AL",".",".",".",".","0.07","0.065",".",".",".","22","9.8",".",".","."
"01073","Jefferson County, AL","1.6","1.1","40","9","0.09","0.075","12","3","1","25","10.5","90","28","."
"01089","Madison County, AL",".",".",".",".","0.08","0.067",".",".",".","22","9.5","61","19","."
"01097","Mobile County, AL",".",".",".",".","0.08","0.064",".",".",".","19","8.7",".",".","."
"01101","Montgomery County, AL",".",".",".",".","0.07","0.065",".",".",".","20","9.1","32","15","."
"01103","Morgan County, AL",".",".",".",".","0.08","0.069",".",".",".","17","7.4",".",".","."
"01109","Pike County, AL",".",".",".",".",".",".",".",".",".",".",".",".",".","0.15"
"01113","Russell County, AL",".",".",".",".","0.08","0.064",".",".",".","25","9.5",".",".","."
"01117","Shelby County, AL",".",".",".",".","0.08","0.065","55","12","2",".",".",".",".","."
"01119","Sumter County, AL",".",".",".",".","0.07","0.056","5","2","1","18","5.4",".",".","."
"01125","Tuscaloosa County, AL",".",".",".",".","0.07","0.063",".",".",".","21","8.1",".",".","."
"02020","Anchorage Borough, AK","3.2","2.4",".",".",".",".",".",".",".","14","4.2","88","17","."
"02068","Denali Borough, AK",".",".",".",".","0.06","0.049",".",".",".",".",".",".",".","."
"02090","Fairbanks North Star Borough, AK","2.9","1.9",".",".","0.05","0.05","15","11","2","95","12.2","138","13","."
"02110","Juneau Borough, AK",".",".",".",".",".",".",".",".",".","17","5.3","36","9","."
"02170","Matanuska-Susitna Borough, AK",".",".",".",".",".",".",".",".",".","18","4.1","130","8","."
"04001","Apache County, AZ",".",".",".",".",".",".",".",".",".","6","2.5","76","15","."
"04003","Cochise County, AZ",".",".",".",".","0.08","0.067",".",".",".",".",".","80","28","."
"04005","Coconino County, AZ",".",".",".",".","0.08","0.068",".",".",".",".",".",".",".","."
"04007","Gila County, AZ",".",".",".",".","0.09","0.076","68","15","2",".",".","123","22","0.05"
"04012","La Paz County, AZ",".",".",".",".","0.08","0.069",".",".",".","10","2.4","145","14","."
"04013","Maricopa County, AZ","3","2.1","58","24","0.11","0.083","4","2","0","32","9.8","207","59","."
"04015","Mohave County, AZ",".",".",".",".",".",".",".",".",".",".",".","138","18","."
"04017","Navajo County, AZ",".",".",".",".","0.07","0.063",".",".",".",".",".","39","14","."
"04019","Pima County, AZ","1.5","0.8","39","13","0.08","0.07","1","1","0","16","7.8","201","46","."
"04021","Pinal County, AZ",".",".",".",".","0.09","0.075",".",".",".","26","10.2","387","71","."
"04023","Santa Cruz County, AZ",".",".",".",".",".",".",".",".",".","26","7.6","126","35","."
"04025","Yavapai County, AZ",".",".",".",".","0.07","0.064",".",".",".",".",".",".",".","."
"04027","Yuma County, AZ",".",".",".",".","0.08","0.072",".",".",".","22","8","350","46","."
"05001","Arkansas County, AR",".",".",".",".",".",".",".",".",".","20","8.6",".",".","."
"05019","Clark County, AR",".",".",".",".","0.07","0.065",".",".",".",".",".",".",".","."
"05035","Crittenden County, AR",".",".","34","5","0.09","0.074",".",".",".","19","8.8",".",".","."
"05067","Jackson County, AR",".",".",".",".",".",".",".",".",".","20","8.8",".",".","."
"05101","Newton County, AR",".",".",".",".","0.07","0.065",".",".",".",".",".",".",".","."
"05113","Polk County, AR",".",".",".",".",".",".",".",".",".","18","8.7",".",".","."
"05119","Pulaski County, AR","1.4","1.3","13","3","0.13","0.07","4","2","0","31","11.5","39","18","."
"05143","Washington County, AR",".",".",".",".","0.09","0.072",".",".",".",".",".","31","16","."
"06001","Alameda County, CA","14.5","3.6","102","11","0.09","0.069","2","1","0","23","8.7",".",".","."
"06005","Amador County, CA",".",".",".",".","0.08","0.062",".",".",".",".",".",".",".","."
"06007","Butte County, CA","1.6","1.1","27","5","0.07","0.066",".",".",".","23","7.8","77","22","."
"06009","Calaveras County, CA",".",".",".",".","0.08","0.065",".",".",".","15","5.5","36","12","."
"06011","Colusa County, CA",".",".",".",".","0.07","0.059",".",".",".","23","7.4","76","20","."
"06013","Contra Costa County, CA","3.2","0.9","28","5","0.08","0.063","18","3","1","23","9.9","48","17","."
"06017","El Dorado County, CA",".",".",".",".","0.08","0.072",".",".",".",".",".","38","14","."
"06019","Fresno County, CA","2.1","1.5","51","17","0.1","0.082","5","2","0","40","12.6","126","43","."
"06021","Glenn County, CA",".",".",".",".","0.07","0.06",".",".",".",".",".","67","16","."
"06023","Humboldt County, CA","0.7","0.6","14","2","0.06","0.047","1","1","0","20","7","44","17","."
"06025","Imperial County, CA","3.4","2.4","55","9","0.11","0.081","5","2","0","31","10.3","523","49","."
"06027","Inyo County, CA","0.3","0.3",".",".","0.08","0.071","1","1","0","29","9.7","700","24","."
"06029","Kern County, CA","1.5","0.8","48","19","0.11","0.089",".",".",".","41","13.6","125","39","."
"06031","Kings County, CA",".",".","38","7",".",".",".",".",".","37","12.5","143","43","."
"06033","Lake County, CA",".",".",".",".","0.06","0.048",".",".",".","14","4.1","26","10","."
"06037","Los Angeles County, CA","3.1","2.6","61","21","0.14","0.103","8","1","0","28","14.3","105","33","0.02"
"06039","Madera County, CA",".",".","24","5","0.09","0.077",".",".",".","28","9.9","114","33","."
"06041","Marin County, CA","1.3","0.8","31","6","0.06","0.05",".",".",".","16","5.4","40","12","."
"06043","Mariposa County, CA",".",".",".",".","0.08","0.068",".",".",".",".",".",".",".","."
"06045","Mendocino County, CA",".",".",".",".","0.06","0.049",".",".",".","32","12.1","62","16","."
"06047","Merced County, CA",".",".","33","6","0.09","0.075",".",".",".","32","9.6","105","31","."
"06051","Mono County, CA",".",".",".",".",".",".",".",".",".","22","7","67","20","."
"06053","Monterey County, CA","1","0.6","24","3","0.07","0.053",".",".",".","18","7.7","67","17","."
"06057","Nevada County, CA",".",".",".",".","0.09","0.07",".",".",".","12","4.7",".",".","."
"06059","Orange County, CA","2.2","1.7","50","20","0.1","0.077",".",".",".","24","9.5",".",".","."
"06061","Placer County, CA",".",".","33","6","0.09","0.077",".",".",".","19","7.5","45","15","."
"06063","Plumas County, CA",".",".",".",".",".",".",".",".",".","40","11.9",".",".","."
"06065","Riverside County, CA","1.5","1.2","47","12","0.14","0.099","2","1","0","31","12.5","306","46","0.01"
"06067","Sacramento County, CA","1.6","1.3","28","9","0.09","0.077","2","1","0","32","9.4","50","20","."
"06069","San Benito County, CA",".",".",".",".","0.08","0.066",".",".",".","15","4","59","12","."
"06071","San Bernardino County, CA","1.6","1.1","69","27","0.14","0.107","1","1","0","27","12.9","307","33","0.01"
"06073","San Diego County, CA","2.7","2","49","14","0.1","0.08",".",".",".","20","9.7","59","22","0.02"
"06075","San Francisco County, CA","1.9","1.1","40","8","0.05","0.041",".",".",".",".",".",".",".","."
"06077","San Joaquin County, CA","2.1","1.3","23","8","0.08","0.064",".",".",".","30","7.9","113","25","."
"06079","San Luis Obispo County, CA",".",".","29","4","0.08","0.073","2","2","0","19","6.8","127","23","."
"06081","San Mateo County, CA","1.7","1","36","8","0.07","0.052",".",".",".","22","8",".",".","."
"06083","Santa Barbara County, CA","1.5","0.9","18","2","0.07","0.062","2","1","1","19","8","81","18","."
"06085","Santa Clara County, CA","1.9","1.4","44","13","0.09","0.067","2","1","0","27","8.2",".",".","."
"06087","Santa Cruz County, CA",".",".",".",".","0.07","0.051",".",".",".","15","5.6",".",".","."
"06089","Shasta County, CA",".",".",".",".","0.08","0.067",".",".",".","30","7.4","27","12","."
"06093","Siskiyou County, CA",".",".",".",".","0.07","0.059",".",".",".","74","11",".",".","."
"06095","Solano County, CA","1.9","1.5",".","6","0.08","0.061","3","1","0","17","6.5","32","12","."
"06097","Sonoma County, CA","1","0.7","25","3","0.06","0.046",".",".",".","17","5","48","11","."
"06099","Stanislaus County, CA","1.8","1.2","39","8","0.09","0.077",".",".",".","33","10.5","121","28","."
"06101","Sutter County, CA",".",".","33","6","0.08","0.067",".",".",".","24","8.4","57","21","."
"06103","Tehama County, CA",".",".",".",".","0.08","0.069",".",".",".","15","6.1",".",".","."
"06107","Tulare County, CA",".",".","36","7","0.1","0.087",".",".",".","34","11.7","104","38","."
"06109","Tuolumne County, CA",".",".",".",".","0.09","0.067",".",".",".",".",".",".",".","."
"06111","Ventura County, CA",".",".","29","5","0.09","0.076",".",".",".","17","6.7","71","20","."
"06113","Yolo County, CA",".",".","18","3","0.08","0.065",".",".",".","25","8.3","57","18","."
"08001","Adams County, CO","1.6","1.2","56","16","0.08","0.07","6","2","1","24","8.4","87","30","."
"08005","Arapahoe County, CO",".",".",".",".","0.09","0.075",".",".",".","16","5.4",".",".","."
"08007","Archuleta County, CO",".",".","13","2","0.07","0.056",".",".",".",".",".",".",".","."
"08013","Boulder County, CO",".",".",".",".","0.09","0.071",".",".",".","19","7.2","39","19","."
"08019","Clear Creek County, CO",".",".",".",".","0.08","0.067",".",".",".",".",".",".",".","."
"08031","Denver County, CO","2.4","1.8","65","24","0.08","0.07","5","2","1","23","8.7","47","21","."
"08035","Douglas County, CO",".",".",".",".","0.09","0.076",".",".",".","14","5.5",".",".","."
"08041","El Paso County, CO","1.7","1.1",".",".","0.08","0.069","5","2","1","13","5.4","32","15","."
"08045","Garfield County, CO",".",".",".","2","0.08","0.07",".",".",".",".",".",".",".","."
